Time,x-coordinate,y-coordinate,temperature
8,0.00E+00,4.00E-03,4.00E+02
8,2.00E-03,4.00E-03,4.00E+02
8,4.00E-03,4.00E-03,4.00E+02
8,6.00E-03,4.00E-03,4.00E+02
8,8.00E-03,4.00E-03,4.00E+02
8,1.00E-02,4.00E-03,4.00E+02
8,-1.00E-02,6.00E-03,4.00E+02
8,-8.00E-03,6.00E-03,4.00E+02
8,-6.00E-03,6.00E-03,4.00E+02
8,-4.00E-03,6.00E-03,4.00E+02
8,-2.00E-03,6.00E-03,4.00E+02
8,0.00E+00,6.00E-03,4.00E+02
8,2.00E-03,6.00E-03,4.00E+02
8,4.00E-03,6.00E-03,4.00E+02
8,6.00E-03,6.00E-03,4.00E+02
8,8.00E-03,6.00E-03,4.00E+02
8,1.00E-02,6.00E-03,4.00E+02
8,-1.00E-02,8.00E-03,4.00E+02
8,-8.00E-03,8.00E-03,4.00E+02
8,-6.00E-03,8.00E-03,4.00E+02
8,-4.00E-03,8.00E-03,4.00E+02
8,-2.00E-03,8.00E-03,4.00E+02
8,0.00E+00,8.00E-03,4.00E+02
8,2.00E-03,8.00E-03,4.00E+02
8,4.00E-03,8.00E-03,4.00E+02
8,6.00E-03,8.00E-03,4.00E+02
8,8.00E-03,8.00E-03,4.00E+02
8,1.00E-02,8.00E-03,4.00E+02
8,-8.00E-03,1.00E-02,4.00E+02
8,-6.00E-03,1.00E-02,4.00E+02
8,-4.00E-03,1.00E-02,4.00E+02
8,-2.00E-03,1.00E-02,4.00E+02
8,0.00E+00,1.00E-02,4.00E+02
8,2.00E-03,1.00E-02,4.00E+02
8,4.00E-03,1.00E-02,4.00E+02
8,6.00E-03,1.00E-02,4.00E+02
8,8.00E-03,1.00E-02,4.00E+02
4,-8.00E-03,-1.00E-02,4.00E+02
4,-6.00E-03,-1.00E-02,4.00E+02
4,-4.00E-03,-1.00E-02,4.00E+02
4,-2.00E-03,-1.00E-02,4.00E+02
4,0.00E+00,-1.00E-02,4.00E+02
4,2.00E-03,-1.00E-02,4.00E+02
4,4.00E-03,-1.00E-02,4.00E+02
4,6.00E-03,-1.00E-02,4.00E+02
4,8.00E-03,-1.00E-02,4.00E+02
4,-1.00E-02,-8.00E-03,4.00E+02
4,-8.00E-03,-8.00E-03,4.00E+02
4,-6.00E-03,-8.00E-03,4.00E+02
4,-4.00E-03,-8.00E-03,4.00E+02
4,-2.00E-03,-8.00E-03,4.00E+02
4,0.00E+00,-8.00E-03,4.00E+02
4,2.00E-03,-8.00E-03,4.00E+02
4,4.00E-03,-8.00E-03,4.00E+02
4,6.00E-03,-8.00E-03,4.00E+02
4,8.00E-03,-8.00E-03,4.00E+02
4,1.00E-02,-8.00E-03,4.00E+02
4,-1.00E-02,-6.00E-03,4.00E+02
4,-8.00E-03,-6.00E-03,4.00E+02
4,-6.00E-03,-6.00E-03,4.00E+02
4,-4.00E-03,-6.00E-03,4.00E+02
4,-2.00E-03,-6.00E-03,4.00E+02
4,0.00E+00,-6.00E-03,4.00E+02
4,2.00E-03,-6.00E-03,4.00E+02
4,4.00E-03,-6.00E-03,4.00E+02
4,6.00E-03,-6.00E-03,4.00E+02
4,8.00E-03,-6.00E-03,4.00E+02
